region,source_type,cagr_pct,absolute_growth_gw
Americas,Biomass,2.4512991897529535,9.415619999999999
Americas,Hydro,1.0987391684301295,44.663380000000004
Americas,Solar,35.72229866233756,255.77295
Americas,Wind,11.878173367364319,170.50617
Asia,Biomass,13.689857144506679,46.590810000000005
Asia,Hydro,4.126790848112316,226.76377999999997
Asia,Solar,46.700351138403676,1152.09415
Asia,Wind,19.929202100597564,555.12994
Europe,Biomass,3.315674373030575,12.820660000000004
Europe,Hydro,0.7779037059520766,22.147560000000027
Europe,Solar,18.129313912622248,268.69425999999993
Europe,Wind,8.457228168691632,164.16119
Oceania,Biomass,1.0506809644187154,0.13
Oceania,Hydro,0.5572050723463562,0.6035799999999999
Oceania,Solar,28.33529020190333,34.77394
Oceania,Wind,16.21947569499462,13.424
